cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
OCI-Ly1	D5	Delphinidin (chloride)	1000	0.719118940045813	1.64617640061406	4.87082191251295e-77	5.76599999373155e-76	75.23912536242	Not a hit
OCI-Ly1	D5	DMOG	100	0.982879424443177	1.97640611478099	1.66353413573616e-06	7.58987449429623e-06	5.11976540551233	Not a hit
OCI-Ly1	D5	DMOG	500	0.752144562506731	1.6842946702985	1.4095600206874e-11	8.12351696133002e-11	10.0902559084166	Not a hit
OCI-Ly1	D5	DMOG	1000	0.541566606822692	1.45555222777172	0.0099264408422888	0.0174609682286044	1.7579316778881	Not a hit
OCI-Ly1	D5	Ellagic Acid	100	-0.0817377799897287	0.944918771048685	0.500872797507842	0.524838003130227	0.279974725552752	Not a hit
OCI-Ly1	D5	Ellagic Acid	500	-0.212221332891421	0.86320711839939	0.173764360794822	0.205699432508465	0.686766906452005	Not a hit
OCI-Ly1	D5	Ellagic Acid	1000	-0.329783419094075	0.795655920601245	7.13445955866307e-05	0.000267084896298669	3.57335067071921	Not a hit
OCI-Ly1	D5	EPZ005687	100	0.903375258916647	1.87043685092774	0.0018668141021856	0.00475386381835635	2.32295326345417	Not a hit
OCI-Ly1	D5	EPZ005687	500	0.702849926132149	1.62771704087107	0.0226774113410428	0.0354739505977741	1.45009044312453	Not a hit
OCI-Ly1	D5	EPZ005687	1000	0.573742488571518	1.48837956564434	0.00577689154921487	0.0113976508943969	1.94318464942913	Not a hit
OCI-Ly1	D5	EPZ5676	100	0.904209103722142	1.87151823321367	0.00901828083133785	0.0163900705565393	1.78541917685966	Not a hit
OCI-Ly1	D5	EPZ5676	500	0.482727095690747	1.39738261396719	0.0132567904038222	0.0220773271392744	1.65605350698132	Not a hit
OCI-Ly1	D5	EPZ5676	1000	0.278577603942363	1.21299836339467	0.0531461340178699	0.0729718078364483	1.13684489420686	Not a hit
OCI-Ly1	D5	Etoposide	100	0.671348957035389	1.59256135746273	0.0193751034682845	0.0310853308392257	1.50744450610231	Not a hit
OCI-Ly1	D5	Etoposide	500	-4.01702447063271	0.0617668055367924	6.36629610452627e-114	1.115375077513e-112	111.952579063825	Hit
OCI-Ly1	D5	Etoposide	1000	-3.68204359971071	0.0779102200805643	8.846842591657e-60	9.93568475678401e-59	58.0028021964108	Hit
OCI-Ly1	D5	F-Amidine (trifluoroacetate salt)	100	0.849227353246381	1.80153584003002	0.00417968918755491	0.00897403854975025	2.04701206920145	Not a hit
OCI-Ly1	D5	F-Amidine (trifluoroacetate salt)	500	0.235232564432041	1.17709647150167	0.373489990235737	0.405123731487255	0.392412315809034	Not a hit
OCI-Ly1	D5	F-Amidine (trifluoroacetate salt)	1000	0.595752939926739	1.5112611042126	2.36848219903688e-15	1.52558118114434e-14	13.8165646771825	Not a hit
OCI-Ly1	D5	Garcinol	100	-4.36057887547048	0.0486782503613108	1.20199850190956e-10	6.66424485868845e-10	9.17624905439484	Hit
OCI-Ly1	D5	Garcinol	500	-5.57952008255051	0.020912073359483	7.27351612936995e-39	6.63708346805008e-38	37.1780227206304	Hit
OCI-Ly1	D5	Garcinol	1000	-2.04646969758523	0.242075721990243	0.0336119535752911	0.0493670165767512	1.30656311793754	Not a hit
OCI-Ly1	D5	Gemcitabine	100	-5.65164406213963	0.0198923280402686	4.55388399797139e-124	1.42471513650819e-122	121.846271961627	Hit
OCI-Ly1	D5	Gemcitabine	500	-4.99227809804917	0.0314177113852235	6.9220761144672e-123	1.68437185452035e-121	120.773562024155	Hit
OCI-Ly1	D5	Gemcitabine	1000	-5.89424491487678	0.0168133974305376	6.66754583467201e-78	8.11218076551761e-77	76.0908623804229	Hit
OCI-Ly1	D5	GSK-J1 (sodium salt)	100	0.314555762109571	1.24362865341216	0.0907534308291631	0.116228078079454	0.934688943529727	Not a hit
