OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
RUNX3	158	186	139.0001	181	147.9998	146	307.0004	238	267.0004
RUSC1	386	251.9998	317.9994	327.000308	369.9996	218.00025	530.0004	409.0001	486.0192
RUSC1-AS1	8.80381	13.1707	15.3376	15.4721	22.0213	15.3358	20.6214	15.2441	26.5031
RUSC2	1	0	0	1	1	0	10	7	2
RUVBL1	2559	1707	2504	2162	2117	1757	2411	1686	2111
RUVBL2	4127	2892	3920	3879	3468	2779	4199	3477	3855
RWDD1	1028	762.9996	1210.999	1030.9998	1173.0004	915.9992	1528.996	1154.0006	1342
RWDD2A	91	63	111	72	102	78	143	72	98
RWDD2B	942	692	908	849	949	741	1275	840	1024
RWDD3	413.46782	291.4318	457.18	404.9904	494.1557	377.176	611.80419	388.30387	497.4808
RWDD4	1285	973	1484	1241	1533	1221	2088	1569	1822
RXFP1	0	1.000000444192	0	0	0	0	0	0	0
RXFP2	0	0	0	0	0	0	0	0	0
RXFP3	0	0	0	0	0	0	0	0	0
RXFP4	16	26	22	21	19	10	13	25	7
RXRA	2	0	0	0	0	2	8	3	5
RXRB	1039	722	918	1115	973	718	1410	1129	1320
RXRG	0	0	0	0	0	0	0	0	0
RYBP	659	513	699	631	666	570	1025	821	985
RYK	371	223.9996	357	343	364	269.9998	482	333	463
RYR1	46	28.00004	44	45	36.99999	29	99	57	58
RYR2	10	11	9	13	14	3	41	40	39
RYR3	70	41	88	48	66	49	85	58	100
S100A1	14	12	22	27	18	15	25	25	44
S100A10	7	6	17	6	14	7	60	31	42
S100A11	29	23	47	45	41	33	83	67	57
S100A12	0	0	0	0	0	0	0	0	0
S100A13	102.00003	76.00011	83.99997	118.99995	93.15299	76.00002	172.09526	206.00028	192.28331
S100A14	1	0	0	1	0	0	0	0	0
S100A16	0	0	0	0	0	0	0	0	0
S100A2	0	0	0	0	0	0	0	1	0
S100A3	0	0	1	0	1	0	0	0	0
S100A4	427.9998	349.9995	355.0004	465.9997	433.0002	267.0002	225.9997	161.9998	200.9997
S100A5	0	0	1	1	2	0	0	0	0
S100A6	10	10	16	12	13	14	7	12	16
S100A7	0	0	0	0	0	0	0	0	0
S100A7A	0	0	0	0	0	1	1	0	0
S100A7L2	0	0	0	0	0	0	0	0	0
S100A8	0	0	0	0	0	0	0	0	0
S100A9	0	0	0	0	0	0	0	0	0
S100B	0	0	0	0	0	0	0	0	0
S100G	1	1	3	2	4	6	2	1	2
S100P	2	0	0	11	0	0	27	12	10
S100PBP	1692.8169	1054.505	1563.983	1673.517	1803.245	1283.425	3080.3918	2196.33	2816.211
S100Z	568	365	593	523	520	370	556	423	531
S1PR1	36	30	44	44	34	29	143	124	142
S1PR2	1922.96	1422.85	1753.67	2059.69	2015.93	1428.32	2525.1	2195.41	2432.71
S1PR3	35306.2	16781.7	39145.1	30414	30217.2	26250.7	74081.2	46643.3	59580.7
S1PR4	7	0	5	6	4	1	12	3	11
S1PR5	11.5753	6.07913	8.50988	13.5123	17.4456	7.70897	15.0732	7.21973	14.8085
SAA1	2	0	0	1	2	0	0	0	2
SAA2	216.656	144.248	217.373	207.974	212.493	141.18	153.615	139.792	162.919
SAA2-SAA4	0	0	0	0	0	0	0	0	0
SAA3P	4	0	1	3	3	2	2	0	1
SAA4	0	0	1	0	0	0	1	0	0
SAAL1	1141	692	1134	1185	1183	999	1395	1058	1254
SAC3D1	606	411	489	626	540	419	752	611	635
SACM1L	866	680	949	866	932	774	1142	962	1078
SACS	2330	1595	2483	2046	2426	1801	2647	1990	2661
SAE1	7346	5179.9945	7242.00279	7406.0026	6558.004	5419.99474	9779.0009	7302.004	8348.004
SAFB	4543.6784	3121.3391	4670.7106	4403.3066	3922.0972	3370.8495	4795.5185	3889.98	4153.3116
SAFB2	2523.32	1626.66	2719.29	2398.7	2188.9	1839.16	3631.48	2865.02	2738.69
SAG	1	3	0	0	0	1	0	0	0
SAGE1	0	0	0	0	0	0	0	0	0
SALL1	0	0	2	0	0	0	0	0	1
SALL2	31	24	32	46	33	30	32	51	50
SALL3	1	1	0	1	0	0	2	0	0
SALL4	2	2	0	0	1	0	1	0	0
SAMD1	1260	719	1176	1110	1012	813	1480	1150	1191
SAMD10	146	84	97	141	146	72	189	201	174
SAMD11	19.7827	3.24481	9.77623	6.5141	17.4669	10.9186	18.615	19.8457	13.3097
SAMD12	860.633	606.559	919.063	937.153	1014.985	797.776	2223.459	1572.661	2058.384
SAMD12-AS1	68	43	62	64	78	38	236	149	206
SAMD13	296.9998	215.0005	362.0005	303.9999	322.9999	254.9997	286.9999	286.0003	284.0003
SAMD14	15	12	10	12	15	8	24	25	17
SAMD15	93	56	110	68	74	67	168	87	152
SAMD3	2	4	8	2	2	4	1	4	2
SAMD4A	31.16324	28.08135	31.09937	25.03295	37.057	42.08093	130.20688	115.1526	103.257
SAMD4B	837	576	746	782	741	571	1108	930	1056
SAMD5	128.683	58.1924	103.871	118.098	117.539	74.7106	75.8701	55.0428	106.743
SAMD7	650.968	431	682	628	652	531	618	522	659
SAMD8	1094.779	745.621	1102.449	1043.62	1110.202	849.923	1442.321	1188.8762	1286.977
SAMD9	3116.001	2322	3541.999	3375.0021	3746	3177.997	5385.005	4050.001	4699.996
SAMD9L	1072.81	772.743	1135.62	1276.24	1338.18	1101.59	3081.74	2123.72	2658.82
SAMHD1	1100.61	798.648	1157.15	1010.42	1067.82	851.67	1402.49	1011	1269.12
SAMM50	2126	1544	1971	2031	1934	1540	2403	1737	1977
SAMSN1	641	455	742	663.99973	689	555	855	625	777.00031
SAMSN1-AS1	0	0	0	0	2	1	1	1	0
SAP130	951.0002	629	902	925	838	717	1110	738	1004
SAP18	2571	1619	2534	2466	2547	2170	4072	2894	3716
SAP25	32	29	23	27	40	28	52	73	60
SAP30	754	581	860	770	801	615	1044	753	823
SAP30BP	1565	1022	1492	1496	1407	1182	2301	1802	1966
SAP30L	833.00002	521	767.00028	820.00006	755.9999	684	1382	1034.0003	1191
SAPCD1	81.8109	53.8017	41.9297	81.3379	80.4552	72.2078	37.9717	50.235	114.035
SAPCD2	1764	1116	1614	1461	1333	1003	1081	807	1051
SAR1A	3371	2563.999	3697.995	3510.997	3688.005	2736.003	4564.005	3364.997	4114.997
SAR1B	1937.65	1324.371	1969.088	1847.011	2006.837	1459.028	2659.125	1860.796	2319.73
SARDH	5	1	3	6	6	2	24	17	16
SARM1	366.027	175.012	268.255	328.473	250.45	199.442	512.866	453.136	478.758
SARNP	1976.9108	1485.5902	2031.8507	1989.1977	1998.3306	1696.3276	2724.662	1770.3894	2403.6667
SARS	5161.393	3317.351	4913.838	5798.968	5481.912	4497.309	12329.14	9191.106	10215.26
SARS2	873	544	811	836.396	785	565.4369	1060.476	848.9996	924
SART1	2004.72	1394.12	2042.07	2063.09	1787.7	1503.08	2853.59	2394.55	2535.25
SART3	2283	1593	2280	2290	2248	1695	3652	2853	3086
SASH1	23.691	5.14812	23.7534	26.8694	17.6309	15.6853	8.11506	17.6749	18.493
SASH3	2795	1834	2553	2461	2099	1745	1849	1599	1708
SASS6	1065	792	1378	1176	1269	1183	1735	1358	1596
SAT1	1175	891	1311	1456	1508	1244	3936	2663	3057
SAT2	212	138	196	195	170	152	323	225	221
SATB1	217.999832	129.9997	203	188	145	141.0002	268	205	219.9996
SATB2	2433.9958	1602.992	2442.005	2462.996	2417.97218	1913.0015	2800.9961	2266.9973	2861.0014
SATB2-AS1	14	4.00704	12	15	14.0267	13	9	7	8
SATL1	0	0	0	0	1.12501	0	1.09273	0	1.09793
SAV1	929.009	710.634	1016.01	923.715	942.443	888.76	1647.72	1299.16	1536.91
SAYSD1	354	263	349	323	323	236	446	319	402
SBDS	2214.24	1556.59	2463.42	2308.61	2316.6	1978.62	3982.25	2510.61	3206.52
SBDSP1	1218.7594	906.407	1503.5832	1293.39186	1469.39494	1146.3778	2726.7506	1926.3895	2047.4774
SBF1	7367.57	4766	5867.54	6601	5749.55	4249	7207	5832	6553.52
SBF1P1	0	0	0	0	0	0	4.00073	0	1
SBF2	749.362	514.765	800.141	728.561	629.597	543.296	1174.23	877.177	1038.2
SBF2-AS1	813.869	534.235	879.342	818.464	760.268	637.997	767.9	677.399	808.948
SBK1	60.1378	37.1017	43.6166	41.1102	29.0818	36.8929	89.357	60.194	75.5395
SBK2	0	0	0	0	0	0	0	3	0
SBNO1	6637.79	5045.38	6993.77	6385.79	6777.04	5425.81	7349.42	5690.22	6420.47
SBNO2	735.9997	448.0001	681.9999	751.9996	694.9996	414.0005	1067.0023	864.0004	892.0004
SBSN	0	0	0	1	0	1	0	0	1
SBSPON	105.307	60.2073	110.262	92.9019	60.4088	77.3117	91.3983	92.0771	100.35
SC5DL	515.6768	423.482	565.6234	457.482	594.623	532.226	595.208	465.053	621.638
SCAF1	662	460	486	602	503	393	960	726	862
SCAF11	5369.25	4015.81	5633.92	5451.69	5573.79	4530.31	5560.95	4230.28	5273.1
SCAF4	1014.999748458	689.00004	1006.00031378	1082.00000068758	964	763.9998	1414.000152883	1098	1265
SCAF8	2772	1974	2913	2759	2539	2213	3522	2774	3376
SCAI	1864.57	1191.881	1915.817	1624.318	2040.89	1578.439	3013.4	2212.995	2812.49
SCAMP1	2693.18	1914.72	3041.41	2368.88	3235.69	2493.73	3926.73	3379.38	3621.18
SCAMP2	758	477	715	778	649	547	1316	962	1070
SCAMP3	829	620	787	911	867	656	1489.999	1200	1388.001
SCAMP4	347.917	218.233	308.718	380.637	309.702	226.789	445.22	310.797	415.398
SCAMP5	1948.9965	1228.0006	1630.005	1739.003	1528.9999	1069.0002	1283.9996	1083.9997	1323.0004
SCAND1	878	551	752	878	771	683	1282.997	970	1046
SCAND2P	837.628	505.8388	719.037	773.136	757.442	516.5366	1394.905	1054.808	1150.206
SCAND3	1	0	2	3	4	1	8	1	1
SCAP	1758	1086	1589	1705	1482	1150	2379	2039	2157
SCAPER	693	474	725	678	601	550	1208	739	973
SCARA3	0	1	1	1	0	0	3	2	0
SCARA5	0	2	0	0	0	1	0	0	0
SCARB1	74	44.99995	52	53	41	47	73	125	91
SCARB2	314.932	178.83	290.954	285.005	309.419	236.014	608.7718	436.77	639.953
SCARF1	42.6441	39.5448	45.2993	38.9357200636	28.8444	36.6181	52.0831	65.545806204	56.8493991
SCARF2	8	0	8	9.0000003	4.0000037	6.0000042	13	9.0000013	8.0000026
SCARNA1	35	32	40	26	34	20	40	30	27
SCARNA10	5381	4815	6510	6230	6892	3933	11139	6231	7936
SCARNA11	9	2	5	1	8	2	4	7	2
SCARNA12	3774	2435	2855	3619	3472	1990	5167	3865	4399
SCARNA13	2970.24	1726.87	2287.86	3221.49	3003.76	1827.47	7956.73	4765.5	6321.68
SCARNA14	11	4	2	8	7	2	10	3	11
SCARNA15	24	30	23	21	49	25	32	35	30
SCARNA16	259	183	232	190	169	123	281	133	258
SCARNA17	339	233	287	389	352	214	721	558	598
SCARNA18	13	4	17	10	9	9	16	10	12
SCARNA2	11325	8153	8074	12446	10489	6176	23908	18577	20714
SCARNA20	12	8	8	10	12	6	7	22	5
SCARNA21	1779	1416	1649	1770	1566	1098	3524	2376	2746
SCARNA22	237	189	203	244	329	148	370	207	187
SCARNA23	12	2	2	7	11	2	7	10	9
SCARNA27	48	23	22	29	27	21	29	18	24
SCARNA3	12	7	15	9	15	5	22	14	16
SCARNA4	17	12	29	18	23	13	11	19	16
SCARNA5	1874	1648	2080	2241	2000	1219	3296	1682	2219
SCARNA6	754	559	635	717	728	400	1289	669	859
SCARNA7	2346	1630	2504	2696	2822	2288	6031	4034	4741
SCARNA8	15	20	35	23	29	13	32	10	22
SCARNA9	819	504.661	852.06	1037.08	959.923	775.074	1711.11	1274.93	1406.56
SCARNA9L	396	320.394	434	434	412	344	650	409	453
SCCPDH	2629	2053	2861	2789	2852	2324	4516	3263	3531
SCD	3292	2316	3342	3143	2916	2226	3787	2665	3443
SCD5	777.294	392.5121	816.0625	677.9866	675.2595	522.0505	649.6999	552.7868	627.86
SCEL	0	0	0	0	0	0	0	0	2
SCFD1	2262.997	1567.00117	2358.0008	2278.9963	2363.0002	1971.9995	3363.0004	2454.9979	3046.0008
SCFD2	902	547	913	838	736	625	1061	722	866
SCG2	2	0	2	0	0	1	7	0	3
SCG3	109.820000146845	53.347700150218	98.561600140314	106.611000177087	99.857700735061	64.082700274731	96.949800138349	68.206300165513	89.289000182281
SCG5	50	40	43	53	39	28	51	38.99996	52
SCGB1A1	0	0	0	0	0	2	0	0	0
SCGB1B2P	0	1	1	0	1	0	5	2	3
SCGB1C1	0	0	0	0	0	0	0	0	0
SCGB1D1	0	0	0	0	0	0	0	0	0
SCGB1D2	0	0	0	0	0	0	0	0	0
SCGB1D4	0	0	0	0	0	0	0	0	0
SCGB2A1	0	0	0	0	0	0	0	0	0
SCGB2A2	0	0	0	0	0	0	0	0	0
SCGB2B2	0	0	0	0	0	1	1	0	0
SCGB2B3P	0	0	0	1	1	0	0	0	0
SCGB3A1	0	0	0	0	0	0	0	0	0
SCGB3A2	0	0	0	0	0	0	0	0	0
SCGN	0	0	0	0	0	0	0	0	0
SCHIP1	0	9	2	0.000103531	0	0	26.608	12.99999	0
SCIMP	46.2736	30.372408427	24.1055	38.732478273	45.37944478	27.7115	29.072700822	27.2208	36.368812865
SCIN	43.9415	38.4516	34.4392	46.7941	37.378	28.1873	59.6614	43.2793	29.4585
SCLT1	681	470	853	774	777	675	1360	982	1215
SCLY	442.984	279.662	406.726	321.782	408.821	335.129	754.932	488.259	559.905
SCMH1	633.0005	405.69029	580.9996	615.99955	553.42958	485.7688	752.0001	621.9989163736	758.9999
SCML1	0	0	0	0	0	0	0	0	0
SCML2	1149.553	872.274	1129.923	1136.965	1076.891	922.289	1642.066	1135.577	1504.092
SCML4	276.749	150.094	247.838	222.129	226.256	155.228	229.629	176.701	213.035
SCN10A	0	0	0	0	0	0	0	0	0
SCN11A	30.3914	39.5208	38.5019	46.016	37.5632	25.7037	22.3818	7.80597	45.9286
SCN1A	5	3	7.02082	5	3	3	5	12	3.03223
SCN1B	0	0	4	0	1	2	7	8	5
SCN2A	38.02293	108.298	39.7475	49.66883	52.07174	20.07	51.7579	29.51906	80.385
SCN2B	106.85	99.2564	104.552	69.5612	85.0574	85.6325	92.3243	89.257	111.156
SCN3A	295.884	144.445	317.511	387.385000357592	361.285	295	1168.199	858.278	1091.442
SCN3B	69.7519	55.5457	87.5706	87.2875	68.9862	57.7335	89.306	59.6718	73.8851
SCN4A	281	138	217	276	275	210	828	648	706
SCN4B	0	0	0	0	0	0	0	0	0
SCN5A	3.000003320846	10.00000026891	2.000000508834	2.999995448693	5.99999637894	2.99999776427	19.00001148	8.99999620541	3.000003637539
SCN7A	12	2	11	14	13	9	11	2	7
SCN8A	128.000270794	76.999962508	129.000282525	128	138.999871786	84.999979839	268.9998	251.999773618	259.999715696
SCN9A	141	100.063	110.65	111.5	122.072	83.2801	118.279	60.609	106.838
SCNM1	811.5427	511.381	879.0773	779.7703	786.6773	664.0464	1665.447	1134.2365	1362.1693
SCNN1A	0	0	0	1	0	0	0	2	0
SCNN1B	26	16	31	33	39	28	76	64	78
SCNN1D	36	11	26	21	27	18	65	85	71
SCNN1G	63	39	48	40	59	31	74	36	47
SCO1	980	735	1039	946	1029	808	1391	1022	1166
SCO2	102.96821	71.261	98.31783	120.553	92.33543	65.70653	99.73375	107.24372	94.98627
SCOC	601	566.99953	764.9996	592.9996	808.99958	637.00013	937.99989	739.00039	980.0004
SCP2	1581.00329	1186.9967	1733.04293	1723.047	1808.0004	1330.9973	2172.01925	1568.99664	1951.03433
SCP2D1	0	0	0	0	0	0	0	0	0
SCPEP1	1156	728	898	1102	1045	778	1858	1349	1646
SCRG1	3	0	6	9	10	8	11	2	10
SCRIB	3432.003	2274.005	2770.999	3198	2801	2022.996	2975.996	2648	2877.001
SCRN1	4801.0035	3251.995768	4902.0044	4925.0048	4862.004	3694.0053	7247.0009	5837.999	6489.004
SCRN2	542	336	442	522	466	308.0004	557	547	574
SCRN3	435	379	597	457	553	444	733	573.0003	691.9998
SCRT1	3	0	2	5	2	0	18	18	16
SCRT2	0	0	0	0	1	0	1	0	0
SCT	2	0	1	1	2	0	7	7	3
SCTR	0	0	0	0	0	0	0	0	2
SCUBE1	0	0	0	0	2	1	4	3	4
SCUBE2	0	0	0	0	0	1	3	0	3
SCUBE3	115	64	91	102	94	55	111	78	90
SCXA	14	2	4.5	8	7.5	4.5	14.5	12.5	14.5
SCXB	14	2	4.5	8	7.5	4.5	14.5	12.5	14.5
SCYL1	1545.298	909.575	1371.95	1481.094	1308.243	996.96	1705.012	1421.189	1635.708
SCYL2	1849	1248	1876	2014	2145	1728	3493	2680	3166
SCYL3	737	489	698	714	638	543	1002	722	826
SDAD1	1298	900	1280	1174	1234	1013	1535	1137	1390
SDC1	0	0	0	0	0	0	4	5	1
SDC2	3	1	1	0	1	3	3	7	1
SDC3	38.4998	174.497	44.8146	48.2188	41.2979	35.4517	118.141	105.043	128.106
SDC4	8	33	5	7	3	3	19	5	11
SDC4P	0	0	0	0	0	0	0	0	0
SDCBP	2095.0042	1522.0044	2225.99949	2279.99535	2331.999015	1908.999	3434.9971	2786.9973	3309.999
SDCBP2	34.45566	18.99997	35.6201	31.6596	27.7635	17.68961	56.6499	37	31.1878
SDCBP2-AS1	254	143	241.0005	207.0001	221.9996	153.9998	313	203.9998	272.0004
SDCCAG3	2496.996	1558	2377.997	2517.003	2413.004	1934.001	3010	2471.002	2734.998
SDCCAG8	421.397	327.849	472.592	483.674	489.219	367.66	1005.14	688.124	768.656
SDE2	1619.57	1152.11	1758.39	1432.9	1662.77	1259.89	2384.91	2083.06	2254.3
SDF2	635	434	565	682	608	511	1190	787	1097
SDF2L1	740	509	566	635	564	432	440	417	440
SDF4	1523.001	1002.0002	1367.004	1521.003	1424.004	1194.9994	2880	2297.996	2305.001
SDHA	2689.56	1791.53	2476.86	2646.6	2244.28	1909.24	3195.73	2480.46	2832.12
SDHAF1	494	407	474	494	421	335	846	583	642
SDHAF2	797	554	820	866	788	584	988	757	921
SDHAP1	418.451	203.097	329.251	315.556	336.374	248.296	543.472	402.307	561.017
SDHAP2	496.677	336.166	463.926	481.754	439.314	359.853	909.63	618.839	730.195
SDHAP3	357.907	271.646	350.405	361.807	356.668	277.561	646.56	464.165	548.387
SDHB	2755	1759	2513	2712	2606	2043	3305	2530	3044
SDHC	1632.0023	1055.00047	1425.99742	1739.0042	1564.0024	1116.0003	1517.9953	1153.99724	1425.0036
SDHD	4484	3331	4293	4096	5055	3367	5730	4220	5318
SDK1	7	1	8	7	10	6	27	21	24
SDK2	5.05639	19.0027	19.196	13.2009	16.32	6.05752	17.0012	14.0016	23.4296
SDPR	0	0	0	0	0	0	2	0	3
SDR16C5	0	0	0	0	0	0	0	3	0
SDR39U1	620.177	311.38	558.856	578.28	487.199	385.289	1051.49	819.081	919.651
SDR42E1	635	427	635	650	572	516	1108	734	988
SDR9C7	0	1	0	0	0	0	0	0	0
SDS	0	0	1	0	0	1	0	0	1
SDSL	46.2653	23.6984	48.9423	27.5987	31.7036	23.4044	34.404	28.4005	24.5927
SEBOX	26	14	25	18	16	14	15	9	16
SEC11A	1087.99979	949.0007	1274.0006	1202.00027	1295.99919	992.9999	2062.99749	1643.00292	1871.99487
SEC11C	893	651	1094	1007	1061	873	1899	1436	1533
SEC13	2744.0028	1849.0013	2519.9959	2475.0024	2206.0014	1739.0015	2760.0002	2003.0051	2320.9947
SEC14L1	3817.38416042	2577.22266	3452.79127663	3624.5119492	3258.0799221	2616.111042	4187.0136	3518.9094	3711.5425
SEC14L1P1	1	0	0	0	0	0	0	0	2
SEC14L2	103.999969	93.00002122	82	64	79.000013	50	129.000036	72.99998	104.99994
SEC14L3	12.2862	5.02272	19.0258	10.1933	5.00117	7.00129	30.0162	23.0328	16.0458
SEC14L4	92.1775	56.9924	85.2583	66.1587	56.8492	55.1757	64.3943	60.5294	71.4044
SEC14L5	299.792	176.02	287.883	201.729	250.538	190.147	189.957	133.825	179.3
SEC14L6	0	0	0	0	0	0	0	0	0
SEC16A	2039.452	1282.896	1816.737	2100.161	1971.18	1507.664	3236.183	2710.012	3098.505
SEC16B	0	0	0	0	0	1	8	0	3
SEC1P	38.7012	14.5584	32.4835	33.5602	27.784	26.0754	29.1466	7.42357	32.343
SEC22A	401.527	247.871	412.04	377.86	459.414	340.527	551.143	387.798	433.88
SEC22B	3306	2443	3473	3325	3530	2813	4960	3456	4297
SEC22C	1855.69446	1379.4245	1807.84	1734.385	1794.41869	1293.3926	1906.6697	1501.479	1794.624
SEC23A	3453	2509	3619	3337	3578	2836	4334	3330	3823
SEC23B	3372.0042	2269.001	3242.9992	3358.997	3261.003	2575.001	4940	3915.9929	4519.9916
SEC23IP	2884.9996	1994.7603	3077.1376	2732.5194	2690.2138	2255.267	2667.4	2017.44	2471.59
SEC24A	1152	752	1127	1050	1090	882	1495.995	1126	1438.001
SEC24B	1029	703	1039	937	949	797	1138	1042	1116
SEC24B-AS1	87.6897	68.2518	77.3945	75.2895	69.9822	47.7112	68.0156	45.9321	62.5085
SEC24C	3951.997	2522.004	3543	3863.999	3278.001	2714.003	4368.003	3424.996	4034
SEC24D	880	650	921	959	847	742	1188	882	1009
SEC31A	2119.0002	1566.0004	2145.9999695118	2169.999818639	2117.99959031668	1608.9996000001	2516.99972	1888.999649	2296.99979264013
SEC31B	225	90	240	240	244	155	446	336	388
SEC61A1	2717	1617	2414	2542	2428	1868	3803	2798	3278
SEC61A2	255.055702815758	166.0374	288.0241	262.01252	285.0004	205.00747259	444.0086	324	400.0246
SEC61B	2187	1590	2078	2166	2227	1535	2520	2006	2373
SEC61G	1855.997	1466.996	1706.999	1871.002	2071.003	1275.996	2154.004	1590.997	1917.996
SEC62	4733.17	3398.11	5716.04	4811.02	5740.36	4775.05	6489.16	4777.41	5881.24
SEC63	1011.83	658.164	1038.06	1107.13	1126.94	909.085	1830.6	1397.15	1748.89
SECISBP2	2350	1505	2255	2299	2157	1766	2898	2088	2404
SECISBP2L	957.0005	641	1060.9997	997.9997	1064	768.9999	1557.9953	1220.997	1460.9987
SECTM1	1	0	1	0	2	0	0	2	4
SEH1L	4218	2940	4166	3968	4028	3319	4767	3598	4297
SEL1L	2476.0026	1734.9966	2570.0035	2876.0024	3129.9977	2475.9997	9362.996	6970.003	8493.002
SEL1L2	0	0	0	0	0	0	0	0	1
SEL1L3	9839	7063	10712	9900	9318	7259	12291	9183	10537
SELE	0	4	0	0	0	0	0	0	0
SELENBP1	0	0	0	0	0	0	0	0	0
SELK	808	581	698	813	792	501	957	696	859
SELL	163	134.000152034	172	131.00036	145.9996	113	88	88	96
SELM	14	11	12	25	7	9	56	29	35
SELO	1333	794	1235	1246	1074	848	1453	1086	1180
SELP	3	0	0	1	0	0	0	0	0
SELPLG	37	27	44.00005	33.99999	34	36	62.99999	42	64
SELRC1	1084.51	708.717	1018.92	1044.31	1034.93	804.038	1082.02	825.912	936.684
SELT	3510	2398	3492	3322	3796	2943	4413	3526	4162
SELV	13.0192	3.01905	4	12.0268	16.07	7	14.0963	7.02792	8.01236
SEMA3A	124	73	141	119	155	117	211	156	164
SEMA3B	1	0	0	0	0	0	2	3.000002	2
SEMA3C	0	0	0	0	0	0	0	0	0
SEMA3D	0	0	1	1	1	1	0	0	2
SEMA3E	39.7966	29.5668	30.8387	38.5808	38.5539	24.5185	33.8423	28.8691	41.7963
SEMA3F	2	3	1	8	3	7	21	9	13
SEMA3G	8	5	16	4	14	10	42	38	21
SEMA4A	183.99998	113	125	171.999637	172.0001	114	269.9999	224.9997	273.99984
SEMA4B	332	214.0003	333	395	296.9996	212.9998	420	354	371.0004
SEMA4C	1	1	1	2	1	3	4	16	13
SEMA4D	106.162	54.0421	101.084	106.029	90.1027	69.0779	155.37178	94.17941	137.1016
SEMA4F	287.653	205.685000390863	261.52316121	267.6689	289.6199	193.8911	375.8706	238.2771	307.861
SEMA4G	73.6243	51.2621	65.2942	61.9596	57.2411	43.2631	48	40.82157	82.1288
SEMA5A	177.896	105.054	150.116	133.142	141.551	108.399	127.686	81.807	113.38
SEMA5B	0	0	0	0	2.00000154047	0.999999514681	2.000000450014	1.000000333763	1.000000293304
SEMA6A	85	71	64	87	74	48	76	72	50
SEMA6B	16	5	4	6	14	8	26	12	23
SEMA6C	59	31	34.00001	53	54	28	90	70	89
SEMA6D	19.419574225	12.291508482	12.3649548218	18.487450551	7.587756621	9.097116851	12.1661026989	6.1573208987	27.251463837
SEMA7A	14	7	7	14	9	5	26	32.00000677475	26.99996
SEMG1	0	0	0	0	0	0	2	0	0
SEMG2	0	0	0	0	0	0	0	0	0
SENP1	2127.6403	1442.0008	2384.628	2247.569	2249.5259	1811.999	3181.296	2228.392	2837.2171
SENP2	2110	1465	2244	2284	2252	1843	3903	2969	3240
SENP3	1909.44	1379.26	1857.25	2084.92	1822.86	1410.55	2868.64	2215.91	2438.76
SENP3-EIF4A1	165.584	98.5718	122.544	114.432	124.917	93.4443	92.7915	136.832	143.909
SENP5	4621.18	3175.16	4501.98	4733.4	4681.37	3607.42	7688.07	5522.09	6736.36
SENP6	3172	2103	3524	3184	3455	2786	4761	3534	4197
SENP7	836	647.653	960.547	831.135	917.0664	785	1449.707	1008	1226.569
SENP8	58.000042	37.00006	75.00002	60.99999	61.99998	42.00004	115.9999	65.00003	61.99999
SEP15	2659.005	1765.997	2746.995	2919.002	3153.995	2339	4516.998	3410	4105.995
SEPHS1	1929.00486	1274.9997	1841.0041	1913.0042	1981.9952	1576.0014	3200.9895	2572.0039	3000.9905
SEPHS2	2416	1778	2037	2565	2049	1652	2686	1996	2408
SEPN1	291.5449	186.84	261.3002	263.2723	268.2548	155.5871	337.3469	281.1562	326.9598
SEPP1	9.28869	8.19532	14.15334	7.55529	7.45312	13.2861	11.6559	11.28617	4.9675
SEPSECS	767.792	575.077	814.463	797.821	923.66	624.788	1147.96	986.942	1183.4
SEPT1	2009	1254.89	1706.9	1930.68	1748.88	1281	2382	1992.86	2053
SEPT10	0	0	1	1	1	2	5	0	0
SEPT11	1592.98	1056.44	1717.02	1690.36	1676.7	1418.05	3114.55	2345.9	2938.29
SEPT12	0	0	0	0	0	0	0	0	0
SEPT14	224.733	163.238	237.828	182.263	210	162.912	187.316	144.217	176.046
SEPT2	8856	6154.995	9581.999	8752.998	9098.244	7130.001	11021.999	8249.002	9790.004
SEPT3	8.7079	12.8545	11.0543	14.1004	11.6426376	10.5236	105.0692	94.1476	106.58229
SEPT4	31.85703	22.8635	20.5963	17.35148	23.62439	21.69178	28.41408	20.18163	21.53649
SEPT5	2	0	1	2	0	0	22.67686	14	8.22266
SEPT5-GP1BB	0	0	0	0	3	0	6.46601	0	5.80677
SEPT6	6273.323	4338.128	6498.261	6179.853	5637.636	4598.715	8958.728	6517.572	7764.881
SEPT7	10458.7373	7553.219	12240.785	10264.4245	11343.312	9507.9881	15021.276	11118.48	13429.627
SEPT7L	30.4152	18.7466	14.9403	13.6512	27.716	15.4307	40.3687	27.3998	51.286
SEPT7P2	618.808	426.812	600.028	625.559	614.267	471.812	973.032	729.865	882.626
SEPT8	88.2785	57.000000044027	80.1843	141.9212	113.5037	96.13363	659.526	421.9995	551.8238
SEPT9	20855.02838	13685.953	19219.029	18349.95255	17016.964	13313.994	19189.9678	14893.0051	16882.9777
SEPW1	308	203	270	299	260	227	468	356	419
