OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ACSBG1	9.0000002	4.0000015	14.9999976	9.9999961	10.0000044	5.9999973	12	35.000023	11.9999892
ACSBG2	72	28	54	52	50	56	65	38	63
ACSF2	80	52	82	91	85	60	211	163	171
ACSF3	3756.0018268918	2574.9997249825	3361	3529.0048675569	3026.00110014709	2369.00200012458	4867.0038432502	3868.0001432024	4248.9947969
ACSL1	1283	857	1222	1166	1216	897	1829	1295	1623
ACSL3	3104	2267	3433	2997	3320	2565.001	4594	3590	3982
ACSL4	2163.997	1559.003	2360.003	2045.996	2174	1776.999	2532.001	1958	2401.005
ACSL5	1599	1196.00116	1625.0028	1634.99707	1698.0044	1339.9956	2905.0007	2021	2524.0039
ACSL6	80.78322	41.058	84.4806	70.8352	76.0095	59.23044	90.80760132073	76.11162351722	88.4684000522766
ACSM1	0	0	0	0	0	0	0	4	1
ACSM2A	24.7357	15	13	13	23.406	9.81136	17.893	7	9
ACSM2B	0	0	0	0	0	0	1.75214	0	0
ACSM3	6.07599	4.118656	3	1	4.084461	1	20.24742	8.43163	16.1418
ACSM4	13	7	5	8	9	4	6	9	18
ACSM5	0	0	0	0	0	0	0	0	0
ACSS1	34.0000386	20.00004	33.000011171	34.99996	24.00003	39	181.0002	117	117.0000246
ACSS2	75	56.99998219185	90	106.00000247808	92.0000239036	63.0000105535	194.00047	145	129.9995
ACSS3	26.382	24.2715	18.276	16.1887	18.2282	8.12207	12.1002	13.0999	22.1387
ACTA1	9.20137	3.11042	2.05375	7.2768	4.17215	1.02273	6.07279	2.02401	0
ACTA2	18.99996	25	15.99997	26.99997	27.00002	23.99997	37	34.00002	28
ACTB	84468.9	57217.4	80510.3	76722.9	71757.6	57926.6	70823.5	56252.5	64256.2
ACTBL2	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	1.00001
ACTG1	41146.6371	29192.4538	37603.4534	41175.63156	38581.0306	27096.0477	40360.9614	31887.672	37180.674
ACTG1P4	25.0297	9.0002	21.605	26.0006	24.0002	19	34.0003	22	27.0932
ACTG2	2	4	1	1	1	0	5	3	5
ACTL10	148	84	142	135	114	93	127	97	108
ACTL6A	4082.0019	2822.004	3979.0019	4069.9978	3744.9958	3045.9966	5152.003	3776.00004	4570.991
ACTL6B	0	0	0	0	0	1	4	0	1
ACTL7A	5	2	3	0	2	5	5	4	9
ACTL7B	1	0	2	0	0	0	1	2	0
ACTL8	1	0	0	3	1	0	3	2	8
ACTL9	0	0	0	0	0	0	0	0	0
ACTN1	0	0	4.0000032	6.0015339	1.0000003	1.00000047	68	21.999996	24.016488
ACTN1-AS1	0	0	0	0	0	0	1	0	0
ACTN2	0	1	0	0	1	0	3	0	1
ACTN3	1	0	1	3	2	4	5	1	7
ACTN4	4093.47	2586.28	3810.75	4187.65	3677.92	2963.33	5208.2	4415.72	4634.41
