TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
TMX2-CTNND1	63.6837	107.58	137.979	55.9904	131.901	147.008	132.601	65.7993	31.3139
TMX3	1784	1874	1971	1447	1547	1994	1654	1495	1040
TMX4	197	202	255	215	184	240	236	185	133
TNC	111.096	183.574	157.456	127.47	110.243	186.276	130.672	107.588	83.4625
TNF	1206	1252	1341	1641	1847	2625	1718	1441	1106
TNFAIP1	475.417	485.64	564.647	392.997	399.367	485.083	389.329	300.157	243.833
TNFAIP2	873.473	1069.41	1127.44	958.579	882.597	1149.01	886.36	709.102	548.948
TNFAIP3	2939.000369221	3037.998437351	3465.00000562706	2462.00300137713	2635.00147107	3419.00000039048	2661.005	2448.99800002367	1707.00100112523
TNFAIP6	2	2	0	4	5	3	9	2	2
TNFAIP8	2272.996	2349	2545.003	2123.004	2056.003	2874.997	2246.999	2105.996	1490.005
TNFAIP8L1	374.448	554.5708	628.4671	360.8771	446.5175	587.2482	382.1817	372.6843	232.0099
TNFAIP8L2	22	25.2731	40.0787	33.5913	28.6676	41.5899	29.4739	29.7358	18
TNFAIP8L2-SCNM1	0	25.4392	33.2185	9.31712	25.1287	18.8689	11.0353	18.8	0
TNFAIP8L3	47.2372	51.6563	59.912	58.3587	60.4917	76.9396	48.7322	42.2971	35.3165
TNFRSF10A	117.584	161.892	179.639	139.328	137.092	209.344	142.073	146.288	104.782
TNFRSF10B	637.231	787.7431	877.9218	1053.9959	1247.4913	1725.5781	1575.5285	1460.8793	1038.8203
TNFRSF10C	4.36971	10	5	10.888	9	9	13	10	6
TNFRSF10D	53.0005	40.0045	76.0223	121	138.006	214.099	236.027	194.013	144.016
TNFRSF11A	110.76219	133.251	141.46056	101.681	104.600698055	141.946	98.9881	114.222	79.3629
TNFRSF11B	0	0	0	0	0	0	0	0	0
TNFRSF12A	9	13	19	13	7	14	23	19	11
TNFRSF13B	1149	1435	1606	1243	1372	2092	1443	1311	953
TNFRSF13C	584	679	726	565	587	868	765	704	524
TNFRSF14	153.772	193.134	221.878	208.636	241.19	334.682	351.214	306.37	226.306
TNFRSF17	158	133	159	135	158	193	195	189	127
TNFRSF18	0	1	2	3	6	8	8	12	7
TNFRSF19	0	0	0	0	0	3	0	3	1
TNFRSF1A	9	13	4	5	3	17	9	9	3
TNFRSF1B	2717.7	3107.47	3509.61	2199.65	2283.05	2787.06	2142.14	1986.79	1449.68
TNFRSF21	552.672	631.374	713.711	569.259	616.092	841.166	700.674	581.113	443
TNFRSF25	2	3	4	1	5	6.000001	7.000001	5	5
TNFRSF4	1	2	4	1	1	3	7	5	5
TNFRSF6B	16.7603	15.4159	39.0928	19.0249	8.29688	23.3058	38.7889	11.3097	17.1637
TNFRSF8	50.00005	49	68	48	32	45.0000067	37	31.0000000226975	16.00001
TNFRSF9	160.243	265.842	330.261	181.433	223.914	346.052	251.691	224.075	136.398
TNFSF10	65.22428	66.34163	66.01274	51.17213	58.312370161005	62.8789	49.92593	32.9718	26.78934
TNFSF11	0	0	1	1	0	2	0	0	1
TNFSF12	5	3.92013	9	4.75514	6.25044	13	10.8351	8.62928	3
TNFSF12-TNFSF13	0	3.07032	0	8.45902	2.30519	0	4.57995	7.84542	0
TNFSF13	73.99999	83.0096000806791	117.99999	72.7859	90.4444	107.99998	100.585	79.5253	82.9999530387
TNFSF13B	9.67026	5.72057	13.2385	4.24101	7.6503	12.8204	11.0914	11.2076	4.0404
TNFSF14	42.9964	58.0658	87.0138	60.7819	70.1134	109.1401	70.0612	75.335	66.4164271
TNFSF15	53.8867	85.3716	99.7214	54.924	66.4215	114.67	85.2083	64.6464	34.71580607892
TNFSF18	0	0	0	0	0	0	0	0	0
TNFSF4	25.0295	36.0668	23.0354	28.0501	27.0425	44.0309	47.0854	46.0981	27.0225
TNFSF8	1	3	2	3	15.99996	7	10	13.00001	8
TNFSF9	352	479	518	580	724	1147	1069	848	707
TNIK	0	0	0	0	0	0	0	0	1.0000004495468
TNIP1	4501.9965	4894.9945	5482.0058	4170.0011	4589.0054	6478.994	5037.0036	4470.006	3407.9982
TNIP2	236.9998	266.9998	347.9998761	214.00033	248.0000154034	333.9996	263.000482	239	170.0005
TNIP3	252.6037	268.3083	311.7095	121.9854	127.9559	160.2213	90.4927	85.89417	65.8516
TNK1	72	85	124	80	92	121	89	75	72
TNK2	473	659	732	592	592	965	925	815	625
TNKS	661	657	702	589	670	919	850	790	519
TNKS1BP1	474	609	727	582	650	818	639	576	371
TNKS2	2263	2420	2614	1647	1846	2393	1827	1739	1262
TNMD	0	0	0	0	0	0	0	0	0
TNN	0	0	0	1	1	1	1	2	4
TNNC1	5	5	6	2	1	0	2	6	5
TNNC2	4	3	2	5	5	2	2	2	3
TNNI1	9.08717	13.887	23.757	14.1982	10.213	29.9352	16.9317	13.5502	10.3516
TNNI2	3	2	6	1	6.0000014294	6	3	11	5.00000263502
TNNI3	2	0	0	0	0	0	3	1	0
TNNI3K	0	0	0	0	0	0	0	0	0
TNNT1	15	31	29.00004	17.000003	15	19	23	17	10
TNNT2	0	0	0	0	0	0	0	1	0
TNNT3	2	3.0000000176378	0	0	1	0	2	10.000000191244	0
TNP1	0	0	0	0	0	0	0	0	0
TNP2	1	2	0	3	2	2	1	1	0
TNPO1	6602	6686	7527	4836	5045	6414	5057	4573	3169
TNPO2	2213.612	2487.9861	2970.3317	1687.5139	1825.2504	2417.9714	1544.1102	1368.5042	1038.2627
TNPO3	2650.001	2769.9953	3027.0008	2073.9978	2137.9981	3021.9949	2031.004	1852.0043	1327.0032
TNR	11	15	24	15	10	22	17	17	10
TNRC18	873.24	1147	1280.19	1454.27	1734.41	2579.17	2111.27	1804.31	1387.32
TNRC18P1	20	27	32	29	26	49	27	31	23
TNRC6A	2403	2594	2908	1843	1894	2899	1969	1897	1308
TNRC6B	2484.669	3018.935	3197.278	2321.989	2639.27	4185.758	3536.736	3028.668	2159.964
TNRC6C	529.194	675.2374	767.966	481.8696	560.1827	811.3474	670.9364	581.8395	452.7731
TNS1	8.36967	19.6515	16.4938	23.7876	16.0805	20.1237	31.6542	21.5065	13.2764
TNS3	2881	2922	3359	3167	3653	5206	4484	4131	3029
TNS4	32.0595	28.1603	58.1607	31.6916	30.5689	44.8445	29.8226	25.5307	19.8765
TNXA	0.238236	0	0	0	0	0	0	0	0.479931
TNXB	3.76176	4	6	7	10	7	29.00002	16.99996	7.52007
TOB1	1061.8463	1040.09065	1101.5315	1121.2328	1270.0033	1813.1067	1374.0967	1346.1119	946.07353
TOB1-AS1	34.1534	33.9058	50.4679	40.7721	58	69.8914	71.902	58.887	49.9261
TOB2	1277	1270	1401	1022	1088	1584	1105	916	739
TOB2P1	71.2853	70.7734	81.5608	58.2705	90.1167	108.662	84.3466	80.2333	51.3633
TOE1	622	616.739	737.895	421.306	390.207	523.225	288.206	295.644	187.731
TOLLIP	845	895	982	738	774	1032	776	711	472
TOM1	363.0001	418.0003	462.9999	391.9997	450.0001	581.9992	500.0004	432.0004	295.00053
TOM1L1	6.95959	14.8246	16.0431	11.3806	3.5827	11.3864	6.83189	9.09888	2.37136
TOM1L2	169.9998	174	179.0001	156	191.0002	270.9998	244.0001	258	153
TOMM20	1876.16	2107.02	2301.16	1395.25	1399.27	1745.14	1305.07	1135.42	790.689
TOMM20L	12	11	24	12	3	11	13	6	9
TOMM22	1473	1584	1960	995	958	1332	815	672	536
TOMM34	648	726	729	414	432	590	351	352	262
TOMM40	6243.999	8847.001	10277.01	5157.998	4947.993	6223.995	3711.001	3451.002	2442
TOMM40L	444.112	476.157	516.721	318.549	268	370.497	191.549	166.039	119.171
TOMM5	2092.9971	2139.0032	2370.9975	1331.99659	1262.0013	1580.9968	1120.9953	1020.00002	715.0002
TOMM6	1887	1926	2196	1281	1319	1617	1087	977	732
TOMM7	657.184	915.924	931.322	685.055	697.537	967.191	705.747	653.098	443.685
TOMM70A	2858.38	3018.41	3234.39	2000.68	2009.61	2676.69	1882.19	1665.64	1245.45
TONSL	1441.51	1717.25	1989.03	1350.56	1443.2	2176.49	1687.02	1457.27	1148.37
TOP1	7345.01	7409.49	8263.52	4552.02	4470.4	6500.37	4198.13	3797.16	2756.76
TOP1MT	401	466	522	293	309	440	261	223	211
TOP1P1	36.9909	21.5057	19.4584	38.9715	24.5843	63.6251	32.8654	31.8211	11.236
TOP1P2	11.5139	16.7317	20.9939	15.538	14.9969	27.3398	17.337	15.5023	4.16586
TOP2A	11150	11130	12466	6292	6022	7838	3832	3368	2449
TOP2B	4497	4477	5135	3303	3340	4577	3486	3161	2277
TOP3A	1412.55	1579.98	1705.08	981.94	1050.92	1458.76	1101.03	963.446	742.738
TOP3B	597	659	842	516	573	914	714	551	446
TOPAZ1	0	0	0	1	2	2	0	0	0
TOPBP1	3805	3703	4191	2463	2490	3448	2476	2212	1604
TOPORS	1348.00000001913	1223	1441	951.0002	1008.0001	1463	1159	1063	701
TOR1A	696	698	770	523	520	683	528	468	333
TOR1AIP1	1068.196	1070.311	1191.138	840.104	938.11	1198.625	914.068	939.952	644.273
TOR1AIP2	3049.976	3671.993	4072.889	2641.061	2921.447	4028.841	2826.444	2325.621	1742.865
TOR1B	315.498	294.755	343.676	226.903	255.094	306.179	256.501	254.468	171.225
TOR2A	148.99997	132.99992	185.999985177	129.000042735	122.999898	189.0001047489	148.00021837413	111.99998	84.999872
TOR3A	564	591	655	425	442	605	398	382	303
TOR4A	53.235	106.371	123.524	106.736	116.098	159.768	139.406	135.833	96.7089
TOX	683	708	741	453	442	604	401	329	221
TOX2	729.99977263614	713.9996	777.9996	664.0002	713.0003	1067.0001	961.9996	834.00030041982	673.99992
TOX3	0	0	0	0	0	0	0	1	0
TOX4	1191.33	1356.87	1477.24	998.923	1140.66	1437.56	1038.86	877.424	665.289
TP53	2202.23942	2505.31856	2831.16122	1839.93742	1911.05405	2523.3095	1743.72992	1535.87622	1135.507164
TP53AIP1	5.229	23.6964	30.6526	14.3233	25.9122	32.3695	24.89858	22.489	18.49722
TP53BP1	1628.9962245105	1789.997	2007.9991	1366.9979	1507.996	2146.002	1710.99600010026	1509.9955	1097.0028
TP53BP2	1490.828	1470.706	1558.944	1057.284	1038.452	1466.868	983.109	916.135	675.244
TP53I11	3273.98625	3874.9975	4323.9913	2912.9994	2999.99203	4400.0029	3830.9997	3513.9968	2797.9966
TP53I13	209	253	302	241	277	374	346	293	206
TP53I3	116.0001	139	156	177	202.9999	304.9998	263.9995	240.9997	149.00003
TP53INP1	98.000000120471	106.000152282	109	290	410.0002	634	722	678	532.9996
TP53INP2	398	521	553	459	516	738	560	502	344
TP53RK	920.735	955.129	1041.34	661.291	670.333	908.349	646.776	575.555	393.271
TP53TG1	30	26	31	41	39	64	56	53	41
TP53TG3	0	0	0	1	0	0	0	0	0
TP53TG3B	0	0	0	1	0	0	0	0	0
TP53TG3C	0	0	0	0	0	0	0.999999	0	0
TP53TG3D	0	0	0	0	0	0	0	0	0
TP53TG5	12.6839	14.2215	19.539	8.79244	19.0689	16.0762	11.5181	10.6801	4.11387
TP63	927.9996768	952	1078.99988701	1182.9956377	1330.00289741	1850.00253	1687.9970355	1636.0026	1161.996636
TP73	87.32	109.4863	110.29016	101.201155	101	146.18943	146.686050981091	134.22967	110.26683
TP73-AS1	494.368100013649	666.9777	730.1041	456.7265	470.7298	701.1508	550.065	463.5532	328.9848
TPBG	0	0	0	0	0	0	1	1	0
TPBGL	0	0	0	1	1	1	0	2	1
TPCN1	752	888	974	771	833	1163	926	825	608
TPCN2	121	126	153	123	134	176	124	120	95
TPD52	1212.999	1177.00336	1291.0006	879.00016	865	1163.9992	1105.0048	965.9996	724
TPD52L1	0	0	0	0	0	1	1.0000000164235	0	0
TPD52L2	1643.99982001431	1889.999969	2060.00127	1321.999712073	1349.999225346	1661.99993179	1259.9996334861	1124.0000061797	749.0003
TPD52L3	0	0	0	0	0	0	1	0	0
TPGS1	86	83	91	63	68	99	74	76	38
TPGS2	1962.35385	1955.9017	2196.2305	1147.5304	1356.36189	1681.95452	1247.8929	1014.5501	773.8163
TPH1	7	4	3	5	0	5	6	3	0
TPH2	0	0	0	0	1	1	2	0	0
TPI1	7449.961	8354.978	9612.975	4955.981	4902.97	6475.9489	4367.973	4046.971	2847.9685
TPI1P2	44.0038	43.0033	49.0033	37	32	42.0043	44	36	26.0061
TPI1P3	11.0387	8.02294	8.0238	8.02242	11.0312	20.054	15.0283	10.0292	7.02044
TPK1	27	16	28.00002	22	22.00002	30.999965	31	21.00002	23
TPM1	58.01816	60.98264	64.02430081622	53.96862	58.01863	106.97589	85.94597	83.11722	56.0735
TPM2	2436.995	2911.995	3046	2096.004	2077	3678	2063	1893.004	1380
TPM3	6880.0892	7408.65	8284.1682	4616.6386	4613.4536	6383.4043	4092.5089	3616.0937	2784.21811
TPM3P9	620.746	681.063	732.38	456.179	545.055	789.446	553.195	475.762	394.561
TPM4	7421.614	8484.6524	9661.4918	5728.7986	5816.8098	7675.8258	4645.871	4155.4536	3016.5348
TPMT	295.563	326.128	369.901	283.453	329.982	365.666	337.079	303.143	209.814
TPO	0	0	0	0	0	0	1	1	1.0000000380414
TPP1	1243	1337	1523	1239	1399	1929	1316	1202	874
TPP2	3620	3664	4117	2432	2574	3258	2579	2228	1652
TPPP	110	119	145	110	106	157	153	115	82
TPPP2	0	0	0	0	0	0	1	0	0
TPPP3	0	0	0	2	1	2	1	0	1
TPR	6226.86	6295.8	7009.9	4585.77	4821.91	6745.88	4891.94	4377.94	3371.98
TPRA1	460	498	620.99951	424.9999	441.0002	598.0003	490	396.9998	307
TPRG1	279	308	345	221	235	321	177	128	112
TPRG1-AS2	20	17	14	12	18	31	19	23	10
TPRG1L	360.144	448.998	537.879	406.367	380.303	552.088	457.589	428.522	296.887
TPRKB	199	198	239	133	142	186	113	94	74
TPRN	141	157	164	132	142	170	174	185	118
TPRX1	0	0	0	0	0	0	2	0	0
TPRXL	6	5	6	5	1	10	5	6	5
TPSAB1	0	0	0	0	0	0	0	0	0
TPSB2	0	0	0	1	0	0	3	4	5
TPSD1	0	0	0	0	0	0	3	1	2
TPSG1	0	0	0	0	0	1	0	1	0
TPST1	21	19	30	19	22	26	33	26	18
TPST2	131	120.0004	151.0002	104.99999	112.00022	141.99994	101.99997	108	63
TPT1	23882	24221	27553	21696	22993	30182	25604	22914	16824
TPT1-AS1	59.0487	53.7516	69.8618	64.6614	57.3746	111.505	71.9949	78.3143	37.83
TPTE	0	1.27154	0	0	3.28531	1.39184	0	0	0
TPTE2	19.1744	13.73515	18.0375	15.2154	19.66351	19.7112	23.80193	15.06994	7.90195
TPTE2P1	422.962	510.498	573.866	376.959	438.665	650.97	515.497	362.587	284.471
TPTE2P3	8	11	14	8	8.27153	6	8.32288	7	7.50487
TPTE2P5	90.9181	115.5242	135.452	81.90563245	80.3216	137.6238	90.2386	71.7095	61.0748
TPTE2P6	20.4098	36.4078	38.5839	24.5284	28.9097	48.5756	28.8031	32.8585	24.1998
TPTEP1	93.0141	85.754	93.0966	75.3039	84.3205	101.107	83.9009	49.3395	65.8831
TPX2	4663	4623	5119	2410	2378	3029	1582	1436	1035
TRA2A	1102	1139	1239	754	779	1054	699	680	509
TRA2B	4434.002	4394.997	4915	2558	2538.998	3369.005	2119	1919.997	1398.999
TRABD	868	994	1103	814	798	1163	988	828	619
TRABD2A	42	48	48	31	11	28	20	11	12
TRABD2B	0	0	0	0	0	1	0	0	0
TRADD	113	173	213	128	142	189	165	156	91
TRAF1	356.9999	366.9997	398.9994	346.9997	375.0005	469	356.99965	278	225.0003
TRAF2	395	455	524	364	329	464	358	296	252
TRAF3	3639.9951	3992.9966	4540.0005	3308.9982	3510.9977	4772.004	3773.9997	3333.0016	2435.9978
TRAF3IP1	327.482	430.641	430.387	303.1825	349.4947	478.369	343.6722	316.9801	254.9389
TRAF3IP2	353.8847	491.6235	544.8794	369.4631741656	397.7704	635.8327	441.937600778434	368.3476	277.6773
TRAF3IP2-AS1	243.882	369.9905	438.9113	300.6661	332.4772	512.9934	327.8919	322.337	258.3953
TRAF3IP3	32	37	48	29	20	39	24	21	29
TRAF4	3317	3703	4076	2760	2985	3875	2947	2505	1855
TRAF5	417.0688	449.8496	496.54390187864	385.317	350.20110348949	529.018	377.8693	313.141	242.9586138042
TRAF6	543.5308	582.805	683.5828	513.88	551.26	727.041	646.8583	539.686	382.5202
TRAF7	2046.2	2324.31	2557.45	1844.3	1973.49	2687.07	1924.39	1686.51	1171.94
TRAFD1	1554.999	1841.995	1905.004	1249.997	1212	1651.001	1168	982	713
TRAIP	304	360	385	225	208	327	221	166	128
TRAK1	2887.003857	3016.9977	3346.0003	2284.0045	2428.0028	3504.9757	2828.9327723	2484.9965	1788.00262
TRAK2	911	894	1009	576	611	823	584	495	323
TRAM1	1961	1926	2248	1782	1848	2454	2163	1956	1438
TRAM1L1	0	0	0	0	0	0	0	0	0
TRAM2	1980.7	2256.97	2500.11	2088.93	2336.27	3254.37	3023.7	2852.87	2042.47
TRANK1	1237	1314	1441	1494	1686	2388	2213	1976	1509
TRAP1	3922.9976	3883.0029	4350.0011	2422.0009	2274.0016	3082.9377	1985.0045	1788.0012	1285.0045
TRAPPC1	1014.00031761	1087.99954	1229.9966	727.00011	735.9999	969.999119135	676.0001	562.0003	441.00035
TRAPPC10	1641	1785	1895	1286	1390	1898	1524	1401	966
TRAPPC11	1082	1090	1199	798	819	1088	850.9996	722	519
TRAPPC12	920	1020	1101	900	921	1399	1104	988	765
TRAPPC13	503.1415	504.6668	519.5918	387.182	368.8022	495.6993	370.4261	318.7275	227.0032
TRAPPC2	268.0324	400.363	445.488	332.514	383.186	544.266	392.799	369.162	276.293
TRAPPC2L	257	310	322	195	190	257	183	177	132
TRAPPC2P1	271.786	328.115	314.756	226.275	241.24	402.441	278.995	287.96	180.465
TRAPPC3	220.00017	270.9999	303	208.00012	198.99949	292.99944	179.99994	157.99987	118.99997
TRAPPC4	283	320	328	200	221	304	199	165	124
TRAPPC5	254.9996	256.0002	313.0004	218.99949	242.9999	351.0004	212.00014	216.99995	132.99996
TRAPPC6A	208.00022	317.9998	334.0001	295.0005	305.0004	460.99936	403.0001	382.9996	244
TRAPPC6B	672.0083	750.6561	837.4958	594.8554	643.3912	866.5333	774.5364	637.8403	434.8478
TRAPPC8	3108	3122	3562	2280	2349	3152	2600	2288	1681
TRAPPC9	640.9999	743.9996	724.0002	654.0004	753.0005	1025	868	768.9998	555.0003
TRAT1	0	0	0	0	0	0	0	0	0
TRDMT1	209.737	244.206	274.497	169.313	199.942	253.14	164.475	160.086	132.206
TRDN	1	1	1	0	0	2	0	0	0
TREH	0	0	0	0	0	1	1	1	2
TREM1	0	0	0	0	0	0	0	1	0
TREM2	0	0	0	0	0	0	0	0	0
TREML1	1	0	1	0	0	0	0	2	0
TREML2	23.0587	34.049	29.1428	29.0439	37.3375	52.3646	31.0952	48.2035	25.0805
TREML3P	0	0	0	0	0	0	0	0	0
TREML4	0	0	0	0	0	0	0	0	1
TREML5P	0	0	0	0	0	0	0	0	0
TRERF1	1402	1463	1596	974	1027	1398	961	864	637
TREX1	259.8746	260.209	323.451	213.4535	218.8405	302.433	201.4598	185.9996	161.4666
TREX2	5	6	8	9	6	14	15	14	5
TRH	0	1	0	1	1	2	0	0	0
TRHDE	0	0	0	0	0	0	0	0	0
TRHDE-AS1	6	7	4	4.00205	6	10	8.00542	6	9
TRHR	1	0	3	1	0	2	0	1	3
TRIAP1	474	563	622	461	522	735	575	569	407
TRIB1	1002	1060	1195	752	853	1034	740	717	476
TRIB2	44	40	45	20	23.00001	37	36	36	27
TRIB3	358.117	386.329	412.452	590.543	692.404	903.63	1097.31	931.332	716.947
TRIL	6	4	1	0	0	4	1	3	0
TRIM10	0	0	0	0	0	0	0	1	0
TRIM11	584	744	874	623	611	907	668	644	511
TRIM13	736.5242	797.853	895.111	660.3023	700.325	947.717	660.341	570.9717	382.3124
TRIM14	695.4699	797.41348	889.952	520.569	440.799	623.827	279.2243	250.1595	231.2596
TRIM15	0	0	0	0	0	0	0	0	0
TRIM16	147.884	237.698	230.49	195.939	170.979	280.482	220.508	184.139	131.664
TRIM16L	43.1451	56.6076	79.3649	46.1334	41.0778	93.2123	57.4758	66.7744	43.9669
TRIM17	47.000000690655	64	76	48	49	62	66	60	37
TRIM2	357.231	365.798	371.804	429.232	413.648	559.025	548.387	492.76	380.697
TRIM21	538	499	589	401	372	478	352	358	213
TRIM22	1537	1605	1746	2004	2136	2967	2696.0037	2494	1780.9982
TRIM23	271.0003909	298.0004424	322.9998	241.0000999039	263	362.0002	324.00035	256.999844	190.99964
TRIM24	1136.999	1149	1228	778	857	1213.998	1006	922	687
TRIM25	2014	2233	2416	1438	1402	1899	1204	1166	783
TRIM26	1357	1456	1716	1212	1281	1719	1260	1171	847
TRIM27	1507	1544	1784	1134	1161	1637	1159	1038	720
TRIM28	39408	41960	46957	28796	29313	38564	28049	24689	18190
TRIM29	0	1	0	0	0	2	0	1	0
TRIM3	126	140	154.00006	150	139.9999	196.9996	186	159	119.99996
TRIM31	0	0	1	0	0	4	2	4	5
TRIM32	480	495	632	481	555	696	569	497	377
TRIM33	1851.001	1662.999	1970	1250	1244	1687.997	1352	1211	859
TRIM34	282.4036	288.4577	352.2123	254.1902	248.0843	323.1764	264.1446	235.1686	155.000000009
TRIM35	554	633	692	494	504	744	560	541	396
TRIM36	252.99955	264.00023	245.99956	192.99981	210.99969	257.00001	258.99997	200.99953	160.99954
TRIM37	1049.513	1119.965	1160.145	821.154	859.355	1139.582	829.28	692.346	526.419
TRIM38	1881.41	1849.65	2169.03	1830.65	1969.14	2735.59	2193.03	2073.53	1464.54
TRIM39	232.4926	276.0004	335.3983	241.6983	200.697	298.8489	254.1926	198.434	166.7881
TRIM39-RPP21	49.4914	0	23.5495	15.1773	31.1729	52.2737	0	29.3218	7.71765
TRIM4	706.1402	744.799	792.937	592.467	651.175	962.341	744.336	640.001	474.1183
TRIM40	0	0	0	0	0	0	0	0	0
TRIM41	560.0001	737	840.9996	527.000686	495.0004	697.0003	534.36599	509.9996	358.99988224
TRIM42	0	0	0	0	2	0	1	1	1
TRIM43	1	0	0	1	0	1	1	1	1
TRIM43B	0	0	0	0	0	0	0	0	0
TRIM44	2407	2532	2818	2194	2177	3121	2160	1943	1399
TRIM45	114.7575	116.080000106664	154.021	92.2447	112.0511	166.8345	149.1098	124.527	82.89475421
TRIM46	144	184.000000056161	201.99998	126.000047	133.0001	196.000131	138.00007	103.00003	73.0000000264429
TRIM47	12	13	14	6	12	14	12	6	4
TRIM48	0	0	0	1	0	0	0	0	0
TRIM49	0	0	0	0	0	0	0	0	0
TRIM49B	0	0	0	0	0	0	0	0	0
TRIM49C	0	0	0	0	0	0	0	0	0
TRIM49D1P	0	0	0	0	0	0	0	0	0
TRIM49D2P	0	0	0	0	0	0	0	0	0
TRIM5	473.4086	508.3971	611.0961	402.6704	474.4131	721.791	593.158	503.3485	367.1555
TRIM50	0	0	0	0	0	0	1.13433	2.05568	0
TRIM51	0	0	0	0	1	0	1	0	0
TRIM51HP	0	0	0	0	0	0	0	0	0
TRIM52	432.894	483	524.857	372.712	438	643.859	598.634	480	347.786
TRIM53AP	0	0	0	0	0	0	0	0	0
TRIM54	8.01861	8.03867	7.04888	6.04514	12.0878	17.1301	7.10492	6.03627	10.04297
TRIM55	0	2	1	3	6	12	18.00001	16.999965814	15
TRIM56	513.855	699.332	734.421	645.081	700.732	1097.14	951.365	837.727	637.458
TRIM58	69.0497	207.962	242.306	138.136	117.216	212.216	167.043	152.158	81.2683
TRIM59	952.215	981.851	1170.51	587.664	612.886	869.759	491.365	484.702	341.883
TRIM6	64.9332	95.0251	98.705451	55.842708151659	45.58926	82.60837238	73.91705	53.9668	34.8796
TRIM6-TRIM34	7.73222	4.41538	0	0	0	0	0	0	0
TRIM60	3.00958	6.05664	2.02662	6.07852	2.03319	14.3641	8.14053	7.1758	5.08433
TRIM61	194	201	239	140	160	199	122	131	98
TRIM62	98	119	132	89	84	120	98	93	72
TRIM63	0	0	0	0	0	0	0	0	0
TRIM64	0	0	0	0	0	0	0	0	0
TRIM64B	0	0	0	0	0	0	0	0	0
TRIM64C	0	0	0	0	0	0	0	0	0
TRIM65	588.012	903.987	942.154	497.5494	483.8514	644.517	402.9522	365.841	245.285
TRIM66	197.392	247.614	259.732	166.525	195.416	311.106	280.962	201.697	164.171
TRIM67	13	15	29	14	33	59	21	29	18
TRIM68	284.947	340.038	389.649	295.08	290.622	479.64	427.218	352.256	258.404
TRIM69	7	6	5	14.00004	11	21.999952	16.99998	12.00004	15
TRIM7	22.87484	34.50151	18.695	14.62591	25.09884	40.57338	20.19065	18.90804	9.45761
TRIM71	19	18	30	11	19	23	19	11	12
TRIM72	24.1191	37.7181	30.6704	19.6306	28.5563	27.7781	39.6258	36.4251	21.8269
TRIM73	5.5	9	7.5	6.5	8	15	12.9328	10.9722	6.5
TRIM74	5.5	9	7.5	6.5	8	15	12.9328	10.9722	6.5
TRIM77	0	0	0	0	0	0	0	0	0
TRIM8	1166	1276	1494	1208	1334	1858	1541	1376	1042
TRIM9	43	36	31.00002	44	53	71	63	61	43
TRIML1	0	0	0	0	0	0	0	0	0
TRIML2	0	0	0	0	0	0	0	0	0
TRIO	4	0	6	3	4	5	6	7	7
TRIOBP	459.9432	617.1221	684.1354	505.5534	506.7983	853.3592	593.5001	501.3823	376.2394
TRIP10	966	977	1142	646	669	952	687	615	456
TRIP11	1286.79	1229.69	1337.95	1045.11	1139.72	1691.92	1356.43	1175.41	841.486
TRIP12	7219	7126	7938	5476	5603	7682	5836	5048	3724
TRIP13	940.5428	962.615	1082.017	592.182	581.9005	737.097	483.145	371.4623	285.7577
TRIP4	316	354	423	307	296	373	333	285	194
TRIP6	443	714	806	556	562	804	458	373	282
TRIQK	0	0	0	0	0	0	0	0	0
TRIT1	220	226	238	153	149	196	134	124	73
TRMT1	914	1051.00009	1204.002	845.0002	913.9995	1190.995	983.000000028454	856.9998	585.9998
TRMT10A	178	179.9995	193.0002	107	96	142	96.99997	93	67
TRMT10B	331.101	379.25	507.24	337.697	311.289	475.104	337.732	323.948	224.343
TRMT10C	751	838	937	552	528	630	408	416	273
TRMT11	155	162	183	129	123	177	155	137	107
TRMT112	852	861	959	650	613	790	593	478	371
TRMT12	263	305	345	251	223	330	248	221	165
TRMT13	445.701	486.097	447.448	340.687	319.3	394.895	323.282	290.806	198.015
TRMT1L	817	863	981	697	755	931	744	681	451
TRMT2A	784.0002	1038	1104	722.0001	698	960.0005	596	540.0001	386.9997
TRMT2B	485.2365	560.315	623.791	470.9393	466.2963	658.0365	532.1692	464.2122	307.6717
TRMT44	179	197	263	174	162	236	201	189	135
TRMT5	969.36	1043.42	1143.82	692.263	662.449	843.769	562.342	499.419	355.634
TRMT6	754	817	897	534	513	828	465	436	319
TRMT61A	512	557	713	416	462	504	402	345	263
TRMT61B	305.983	320.778	351.477	211.809	214.944	312.454	212.222	213.215	149.884
TRMU	350	405	484	271	304	411	315	288	210
TRNAU1AP	231.0002	239.9997	274.0005	154.0005	191.00039	256.9997	190.0001	162.0004	110
TRNP1	3	3	2	6	4	15	40	38	14
TRNT1	800	830	908	529	507	697	471	413	302
TRO	245.249466759	277.000388	277.2528	194.236795611	206.251600344307	301.2624	202.7444	173.4825	136.5009
TROAP	901.035	1014.87	1209.412	566	552.7589	823.837	346.7088	294.1081	227.4118
