Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
K03	X	2	L03	Z1273274105	10	19551	19420	19485.5	0.7106370006
L03	X	2	M03	Z27705739	10	26593	26408	26500.5	0.9664743442
M03	X	2	N03	Z234897125	10	25152	24984	25068	0.9142310092
N03	X	2	C05	Z3393334332	10	24821	24652	24736.5	0.9021411903
O03	X	2	D05	Z2184788502	10	24655	24500	24577.5	0.8963424537
B04	X	2	C03	Z2973968709	1	27563	27384	27473.5	1.001959695
C04	X	2	D03	Z2846909912	1	27222	27036	27129	0.9893957655
D04	X	2	E03	Z1919601756	1	24136	23984	24060	0.877469207
E04	X	2	F03	Z2059611433	1	27720	27528	27624	1.007448436
F04	X	2	G03	Z116401644	1	24887	24732	24809.5	0.9048035034
G04	X	2	H03	Z27018291	1	27605	27420	27512.5	1.003382027
H04	X	2	I03	Z3361170311	1	27049	26868	26958.5	0.9831776233
I04	X	2	J03	Z1665834106	1	26445	26264	26354.5	0.9611497181
J04	X	2	K03	Z2007878939	1	24290	24136	24213	0.8830491234
K04	X	2	L03	Z1273274105	1	25599	25424	25511.5	0.9304054728
L04	X	2	M03	Z27705739	1	26146	25972	26059	0.9503728207
M04	X	2	N03	Z234897125	1	24175	24016	24095.5	0.8787638935
N04	X	2	C05	Z3393334332	1	25014	24848	24931	0.9092346135
O04	X	2	D05	Z2184788502	1	25281	25120	25200.5	0.9190632898
B05	X	2	C03	Z2973968709	0.1	26337	26148	26242.5	0.9570650734
C05	X	2	D03	Z2846909912	0.1	25240	25056	25148	0.9171486126
D05	X	2	E03	Z1919601756	0.1	28379	28160	28269.5	1.030989848
E05	X	2	F03	Z2059611433	0.1	25363	25180	25271.5	0.9216526627
F05	X	2	G03	Z116401644	0.1	29875	29644	29759.5	1.085330211
G05	X	2	H03	Z27018291	0.1	27338	27136	27237	0.99333453
H05	X	2	I03	Z3361170311	0.1	27427	27220	27323.5	0.9964891886
I05	X	2	J03	Z1665834106	0.1	24291	24116	24203.5	0.882702658
J05	X	2	K03	Z2007878939	0.1	28617	28396	28506.5	1.039633248
K05	X	2	L03	Z1273274105	0.1	27123	26920	27021.5	0.985475236
L05	X	2	M03	Z27705739	0.1	26762	26560	26661	0.9723277859
M05	X	2	N03	Z234897125	0.1	23802	23628	23715	0.8648870426
N05	X	2	C05	Z3393334332	0.1	26291	26092	26191.5	0.9552051012
O05	X	2	D05	Z2184788502	0.1	25813	25628	25720.5	0.9380277115
B07	X	2	E05	Z4327149776	100	26155	25964	26059.5	0.9503910557
C07	X	2	F05	Z2007528460	100	22009	21836	21922.5	0.7995144926
D07	X	2	G05	Z2372639318	100	1214	1236	1225	0.04467580127
E07	X	2	H05	Z2850037561	100	23524	23332	23428	0.8544201406
F07	X	2	I05	Z2008753592	100	18967	18836	18901.5	0.6893384961
G07	X	2	J05	Z2512006163	100	22900	22724	22812	0.8319545948
H07	X	2	K05	Z2630967643	100	15183	15088	15135.5	0.5519923185
I07	X	2	L05	Z228965686	100	24140	23952	24046	0.8769586264
J07	X	2	M05	Z229693980	100	22904	22732	22818	0.832173415
K07	X	2	N05	Z982827524	100	15815	15720	15767.5	0.5750413849
L07	X	2	C07	Z771854040	100	37031	36724	36877.5	1.344923969
M07	X	2	D07	Z2608572207	100	22898	22736	22817	0.832136945
N07	X	2	E07	Z1431990376	100	22252	22088	22170	0.8085408279
O07	X	2	F07	Z1625720508	100	23282	23116	23199	0.846068501
B08	X	2	E05	Z4327149776	10	29453	29256	29354.5	1.070559844
C08	X	2	F05	Z2007528460	10	25534	25356	25445	0.927980215
D08	X	2	G05	Z2372639318	10	8858	8820	8839	0.3223587
E08	X	2	H05	Z2850037561	10	25317	25140	25228.5	0.9200844509
F08	X	2	I05	Z2008753592	10	28544	28340	28442	1.03728093
G08	X	2	J05	Z2512006163	10	27114	26932	27023	0.985529941
H08	X	2	K05	Z2630967643	10	27888	27688	27788	1.013429523
I08	X	2	L05	Z228965686	10	24021	23868	23944.5	0.8732569172
J08	X	2	M05	Z229693980	10	28744	28540	28642	1.044574939
K08	X	2	N05	Z982827524	10	25547	25372	25459.5	0.9285090306
L08	X	2	C07	Z771854040	10	28179	27996	28087.5	1.024352301
M08	X	2	D07	Z2608572207	10	26136	25960	26048	0.9499716502
N08	X	2	E07	Z1431990376	10	25569	25396	25482.5	0.9293478416
O08	X	2	F07	Z1625720508	10	25120	24960	25040	0.9132098481
B09	X	2	E05	Z4327149776	1	28124	27944	28034	1.022401153
C09	X	2	F05	Z2007528460	1	28216	28020	28118	1.025464637
D09	X	2	G05	Z2372639318	1	19337	19216	19276.5	0.7030147618
E09	X	2	H05	Z2850037561	1	26775	26588	26681.5	0.9730754218
F09	X	2	I05	Z2008753592	1	25213	25052	25132.5	0.9165833269
G09	X	2	J05	Z2512006163	1	27691	27504	27597.5	1.00648198
H09	X	2	K05	Z2630967643	1	27482	27300	27391	0.9989509165
I09	X	2	L05	Z228965686	1	26456	26276	26366	0.9615691236
J09	X	2	M05	Z229693980	1	24547	24392	24469.5	0.8924036892
K09	X	2	N05	Z982827524	1	25388	25220	25304	0.9228379391
L09	X	2	C07	Z771854040	1	26624	26448	26536	0.9677690307
M09	X	2	D07	Z2608572207	1	25904	25732	25818	0.9415835406
N09	X	2	E07	Z1431990376	1	25617	25448	25532.5	0.9311713437
O09	X	2	F07	Z1625720508	1	25725	25560	25642.5	0.9351830483
B10	X	2	E05	Z4327149776	0.1	28248	28044	28146	1.026485798
C10	X	2	F05	Z2007528460	0.1	27023	26824	26923.5	0.9819011719
D10	X	2	G05	Z2372639318	0.1	28145	27924	28034.5	1.022419388
E10	X	2	H05	Z2850037561	0.1	24335	24160	24247.5	0.8843073399
F10	X	2	I05	Z2008753592	0.1	27340	27132	27236	0.99329806
G10	X	2	J05	Z2512006163	0.1	26806	26608	26707	0.9740054078
H10	X	2	K05	Z2630967643	0.1	28605	28388	28496.5	1.039268548
I10	X	2	L05	Z228965686	0.1	25361	25176	25268.5	0.9215432526
J10	X	2	M05	Z229693980	0.1	27970	27756	27863	1.016164776
K10	X	2	N05	Z982827524	0.1	26319	26124	26221.5	0.9562992025
L10	X	2	C07	Z771854040	0.1	27956	27744	27850	1.015690666
M10	X	2	D07	Z2608572207	0.1	26259	26064	26161.5	0.954111
N10	X	2	E07	Z1431990376	0.1	26987	26784	26885.5	0.9805153103
O10	X	2	F07	Z1625720508	0.1	26527	26336	26431.5	0.9639579113
B12	X	2	G07	Z425610922	100	10384	10344	10364	0.3779755138
C12	X	2	H07	Z30839831	100	25228	25020	25124	0.9162733316
D12	X	2	I07	Z2003994118	100	9066	9028	9047	0.3299444687
E12	X	2	J07	Z2007959989	100	20888	20728	20808	0.7588686309
F12	X	2	K07	Z1919855775	100	21205	21052	21128.5	0.7705572793
G12	X	2	L07	Z1626505211	100	24429	24232	24330.5	0.8873343534
H12	X	2	M07	Z1143402100	100	513	536	524.5	0.01912853695
I12	X	2	N07	Z969007916	100	630	636	633	0.02308553649
J12	X	2	C09	Z1256159460	100	3630	3628	3629	0.1323497819
K12	X	2	D09	Z1256891593	100	22600	22420	22510	0.8209406422
L12	X	2	E09	Z1652213297	100	20274	20116	20195	0.7365124953
M12	X	2	F09	Z363389670	100	661	692	676.5	0.02467198331
N12	X	2	G09	Z1768631383	100	24096	23904	24000	0.8752810045
O12	X	2	H09	Z2007467589	100	25327	25144	25235.5	0.9203397412
B13	X	2	G07	Z425610922	10	25799	25624	25711.5	0.9376994812
C13	X	2	H07	Z30839831	10	25882	25712	25797	0.9408176697
D13	X	2	I07	Z2003994118	10	26432	26240	26336	0.9604750223
E13	X	2	J07	Z2007959989	10	26037	25864	25950.5	0.9464158212
F13	X	2	K07	Z1919855775	10	27906	27712	27809	1.014195394
G13	X	2	L07	Z1626505211	10	28201	28004	28102.5	1.024899351
H13	X	2	M07	Z1143402100	10	16665	16552	16608.5	0.6057126901
I13	X	2	N07	Z969007916	10	11751	11684	11717.5	0.4273377154
J13	X	2	C09	Z1256159460	10	23579	23400	23489.5	0.8566630482
K13	X	2	D09	Z1256891593	10	26807	26624	26715.5	0.9743154032
L13	X	2	E09	Z1652213297	10	26766	26576	26671	0.9726924863
M13	X	2	F09	Z363389670	10	13592	13516	13554	0.4943149473
N13	X	2	G09	Z1768631383	10	27462	27268	27365	0.9980026954
O13	X	2	H09	Z2007467589	10	26727	26556	26641.5	0.9716166201
B14	X	2	G07	Z425610922	1	28711	28524	28617.5	1.043681423
C14	X	2	H07	Z30839831	1	29380	29176	29278	1.067769885
D14	X	2	I07	Z2003994118	1	26075	25908	25991.5	0.9479110929
E14	X	2	J07	Z2007959989	1	29877	29668	29772.5	1.085804321
F14	X	2	K07	Z1919855775	1	25500	25340	25420	0.927068464
G14	X	2	L07	Z1626505211	1	29216	29016	29116	1.061861739
