Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
I11	X	2	I05	CB17777655	1	82182	81648	81915	0.9349530215
J11	X	2	J05	CB43433036	1	84561	83964	84262.5	0.9617466762
C12	X	2	C05	CB44462509	0.1	101347	100600	100973.5	1.152480973
D12	X	2	D05	CB59131084	0.1	102060	101296	101678	1.160521923
E12	X	2	E05	CB63206467	0.1	92768	92076	92422	1.05487674
F12	X	2	F05	CB67271987	0.1	91565	90880	91222.5	1.04118601
G12	X	2	G05	CB67730375	0.1	92118	91424	91771	1.047446423
H12	X	2	H05	CB95613023	0.1	89155	88496	88825.5	1.013827377
I12	X	2	I05	CB17777655	0.1	91225	90532	90878.5	1.037259698
J12	X	2	J05	CB43433036	0.1	85710	85092	85401	0.9747411706
C15	N	2	DMSO	DMSO	DMSO	92125	91464	91794.5	
D15	N	2	DMSO	DMSO	DMSO	101362	100580	100971	
E15	N	2	DMSO	DMSO	DMSO	87884	87236	87560	
F15	N	2	DMSO	DMSO	DMSO	95994	95252	95623	
G15	N	2	DMSO	DMSO	DMSO	82560	81956	82258	
H15	N	2	DMSO	DMSO	DMSO	87756	87088	87422	
I15	N	2	DMSO	DMSO	DMSO	87460	86800	87130	
J15	N	2	DMSO	DMSO	DMSO	89938	89248	89593	
K15	N	2	DMSO	DMSO	DMSO	81765	81152	81458.5	
L15	N	2	DMSO	DMSO	DMSO	82928	82296	82612	
M15	N	2	DMSO	DMSO	DMSO	79189	78596	78892.5	
N15	N	2	DMSO	DMSO	DMSO	80763	80164	80463.5	
C16	N	2	DMSO	DMSO	DMSO	98392	97752	98072	
D16	N	2	DMSO	DMSO	DMSO	97556	96912	97234	
E16	N	2	DMSO	DMSO	DMSO	91988	91372	91680	
F16	N	2	DMSO	DMSO	DMSO	90328	89740	90034	
G16	N	2	DMSO	DMSO	DMSO	93841	93196	93518.5	
H16	N	2	DMSO	DMSO	DMSO	84855	84304	84579.5	
I16	N	2	DMSO	DMSO	DMSO	86558	85980	86269	
J16	N	2	DMSO	DMSO	DMSO	84528	83972	84250	
K16	N	2	DMSO	DMSO	DMSO	80026	79500	79763	
L16	N	2	DMSO	DMSO	DMSO	79189	78676	78932.5	
M16	N	2	DMSO	DMSO	DMSO	81889	81332	81610.5	
N16	N	2	DMSO	DMSO	DMSO	75299	74832	75065.5	
C17	N	2	DMSO	DMSO	DMSO	100101	99376	99738.5	
D17	N	2	DMSO	DMSO	DMSO	103375	102588	102981.5	
E17	N	2	DMSO	DMSO	DMSO	87946	87308	87627	
F17	N	2	DMSO	DMSO	DMSO	96300	95568	95934	
G17	N	2	DMSO	DMSO	DMSO	90011	89348	89679.5	
H17	N	2	DMSO	DMSO	DMSO	91097	90408	90752.5	
J17	N	2	DMSO	DMSO	DMSO	85718	85084	85401	
I17	N	2	DMSO	DMSO	DMSO	87446	86788	87117	
K17	N	2	DMSO	DMSO	DMSO	83177	82560	82868.5	
L17	N	2	DMSO	DMSO	DMSO	89904	89212	89558	
M17	N	2	DMSO	DMSO	DMSO	76831	76272	76551.5	
N17	N	2	DMSO	DMSO	DMSO	79399	78820	79109.5	
C20	P	2	CPI-455	CPI-455	CPI-455	130	204	167	
D20	P	2	CPI-455	CPI-455	CPI-455	295	292	293.5	
E20	P	2	CPI-455	CPI-455	CPI-455	161	160	160.5	
F20	P	2	CPI-455	CPI-455	CPI-455	141	140	140.5	
G20	P	2	CPI-455	CPI-455	CPI-455	141	140	140.5	
H20	P	2	CPI-455	CPI-455	CPI-455	133	132	132.5	
I20	P	2	CPI-455	CPI-455	CPI-455	149	148	148.5	
J20	P	2	CPI-455	CPI-455	CPI-455	141	140	140.5	
K20	P	2	CPI-455	CPI-455	CPI-455	194	192	193	
L20	P	2	CPI-455	CPI-455	CPI-455	181	180	180.5	
M20	P	2	CPI-455	CPI-455	CPI-455	145	144	144.5	
N20	P	2	CPI-455	CPI-455	CPI-455	73	140	106.5	
