baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AIFM1	2202.18891214283	-0.547472806709915	0.0669775808458375	-8.17397104816364	2.98401453523829e-16	8.43454770958009e-15
AIFM2	577.484767753553	-0.333956083715257	0.0977128607572089	-3.417729059689	0.000631459335196518	0.00364387925177562
AIMP1	1778.06750484022	0.194296053847117	0.0697279858383522	2.78648596415142	0.00532829255301171	0.0241186326588144
AIMP2	1069.79381122899	0.347504889068833	0.0821788994901865	4.22863887475557	2.35109373133768e-05	0.00018074978641114
AIP	1398.63636682525	-0.199895577350801	0.07961152290149	-2.5108874954967	0.0120428070497381	0.0484864353481984
AJM1	235.719748132285	0.599644545172864	0.151410690873993	3.96038444651111	7.48291961596264e-05	0.000524536127431483
AJUBA	19.2948348118262	1.41058026434891	0.507988426300787	2.7767960672271	0.00548976115412706	0.0246781047943143
AK1	88.2137080416023	0.696529794117617	0.238837581353772	2.91633247234195	0.00354172867868297	0.0168533055725805
AK2	5533.54090761588	-0.256266578622728	0.0470133111445955	-5.4509366046256	5.01052307241635e-08	5.80233141965992e-07
AK3	2833.74842629404	-0.273665791188163	0.0628443792313781	-4.35465819752298	1.33274705195205e-05	0.000107028875395504
AK6	363.674192805665	0.337328047196718	0.118461479936761	2.84757583120517	0.00440535974277375	0.0204180135187836
AK9	186.021219123811	0.483366326573224	0.176095905952742	2.7449038292971	0.00605286326632045	0.026829170458594
AKAP11	2519.24430512575	-0.298167828025913	0.061732040545222	-4.83003356753595	1.36510035137683e-06	1.28754109720255e-05
AKAP13	8508.20231834843	0.366510309129741	0.0460472316613715	7.95944285695685	1.72815658217422e-15	4.56776254142376e-14
AKAP17A	937.494240903251	0.360753510766316	0.0817744139889853	4.41156950161585	1.02624001454419e-05	8.39951321335422e-05
AKAP7	35.9070154338841	1.11672027388919	0.369968930450111	3.01841636412703	0.00254099528647087	0.0125894127816426
AKAP8	1779.00017450359	-0.229881552095826	0.0647935563143543	-3.54790761878428	0.000388304390798954	0.00234099540296473
AKAP8L	1897.65429818512	0.361709066562672	0.0636886665756329	5.67933175572341	1.35221982334428e-08	1.67466864853083e-07
AKAP9	8697.89328272874	0.279844871560203	0.0588395923729513	4.75606407648822	1.97403835600131e-06	1.81135454985773e-05
AKIP1	404.982393153809	0.374830888135545	0.114182278515402	3.28274135889645	0.00102802939195577	0.00564856683076601
AKIRIN2	706.586797711463	0.468217932863366	0.102927780144125	4.54899476319944	5.39027842906937e-06	4.62959427692968e-05
AKNA	2875.37576861892	0.468138333455465	0.0564585677777308	8.29171464813734	1.11627467731181e-16	3.28746102789914e-15
AKT1	3445.47986137741	-0.191399674190753	0.0550268372962472	-3.47829683832849	0.00050461078853196	0.002966823371354
AKT1S1	519.347241713138	0.381835515279204	0.101471217630519	3.76299333146427	0.000167891680286456	0.00109606661441655
AKT2	4367.89165022166	-0.262949302267345	0.0554580734643117	-4.74140708181212	2.12238993208878e-06	1.93953537878618e-05
AKT3	69.4786460515435	1.68735194010049	0.278620309450821	6.05609814814426	1.39462929009524e-09	1.951011256296e-08
AKTIP	317.422074540787	0.381245799398967	0.122700259839921	3.10713114948863	0.00188912568905933	0.00970865411837904
ALDH16A1	768.758982104755	0.381051216102664	0.102596000212067	3.71409426600477	0.000203932771789314	0.00130964961005211
ALDH18A1	2390.40025218898	-0.585795681779011	0.0561829118652137	-10.4265810071285	1.87514472633046e-25	1.01063251332947e-23
ALDH1B1	85.4982764874379	-0.661004536516585	0.256376508398715	-2.57825703550262	0.00993001037393382	0.0411068432109116
ALDH1L2	77.5942253568728	2.60570215032165	0.297296095181715	8.76466994539224	1.87324645398145e-18	6.49942169962723e-17
